Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Unit,Y1992,Y1992F,Y1993,Y1993F,Y1994,Y1994F,Y1995,Y1995F,Y1996,Y1996F,Y1997,Y1997F,Y1998,Y1998F,Y1999,Y1999F,Y2000,Y2000F,Y2001,Y2001F,Y2002,Y2002F,Y2003,Y2003F,Y2004,Y2004F,Y2005,Y2005F,Y2006,Y2006F,Y2007,Y2007F,Y2008,Y2008F,Y2009,Y2009F,Y2010,Y2010F,Y2011,Y2011F,Y2012,Y2012F,Y2013,Y2013F,Y2014,Y2014F,Y2015,Y2015F,Y2016,Y2016F,Y2017,Y2017F,Y2018,Y2018F,Y2019,Y2019F,Y2020,Y2020F,Y2021,Y2021F,Y2022,Y2022F,Y2023,Y2023F,Y2024,Y2024F
"2","'004","Afghanistan","6979","Terrestrial barren land","5008","Area from CCI_LC","1000 ha","24961.750000","E","24961.740000","E","24961.740000","E","25086.500000","E","25106.340000","E","25129.270000","E","25137.000000","E","25042.810000","E","25184.440000","E","25316.620000","E","25286.280000","E","25262.310000","E","25114.770000","E","25058.190000","E","25051.420000","E","24959.520000","E","24915.220000","E","24873.780000","E","24874.770000","E","24840.760000","E","24835.130000","E","24833.460000","E","24857.760000","E","24856.630000","E","24863.150000","E","24873.980000","E","24873.100000","E","24798.560000","E","24767.320000","E","24768.900000","E","24777.560000","E",,,,
"2","'004","Afghanistan","6979","Terrestrial barren land","5013","Area from WorldCover","1000 ha",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"41913.190000","E","41954.120000","E",,,,,,
"2","'004","Afghanistan","6980","Permanent snow and glaciers","5006","Area from CGLS","1000 ha",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"374.020000","E","381.110000","E","386.750000","E","391.580000","E","398.320000","E",,,,,,,,,,
"2","'004","Afghanistan","6980","Permanent snow and glaciers","5007","Area from MODIS","1000 ha",,,,,,,,,,,,,,,,,,,"117.520000","E","153.340000","E","232.390000","E","401.610000","E","471.110000","E","413.250000","E","351.750000","E","286.910000","E","362.790000","E","353.710000","E","313.710000","E","345.610000","E","338.850000","E","352.460000","E","357.360000","E","341.290000","E","306.770000","E","334.900000","E","377.920000","E","396.370000","E","384.970000","E","352.290000","E","318.240000","E","323.540000","E"
"2","'004","Afghanistan","6980","Permanent snow and glaciers","5008","Area from CCI_LC","1000 ha","322.060000","E","322.060000","E","322.060000","E","322.060000","E","322.060000","E","322.060000","E","322.060000","E","322.060000","E","322.060000","E","322.060000","E","322.060000","E","322.060000","E","322.060000","E","322.060000","E","322.060000","E","322.060000","E","322.060000","E","322.060000","E","322.060000","E","322.060000","E","322.060000","E","322.060000","E","322.060000","E","322.060000","E","322.060000","E","322.060000","E","322.060000","E","322.060000","E","322.060000","E","322.060000","E","322.060000","E",,,,
"2","'004","Afghanistan","6980","Permanent snow and glaciers","5013","Area from WorldCover","1000 ha",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"432.230000","E","496.100000","E",,,,,,
"2","'004","Afghanistan","6981","Inland water bodies","5006","Area from CGLS","1000 ha",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"52.810000","E","62.680000","E","66.090000","E","67.290000","E","72.260000","E",,,,,,,,,,
"2","'004","Afghanistan","6981","Inland water bodies","5007","Area from MODIS","1000 ha",,,,,,,,,,,,,,,,,,,"34.890000","E","30.300000","E","20.820000","E","3.200000","E","3.740000","E","3.240000","E","3.390000","E","3.220000","E","3.260000","E","3.280000","E","3.160000","E","3.220000","E","3.430000","E","3.500000","E","3.350000","E","3.780000","E","3.580000","E","3.260000","E","3.410000","E","3.430000","E","3.540000","E","2.660000","E","2.880000","E","3.070000","E"
"2","'004","Afghanistan","6981","Inland water bodies","5008","Area from CCI_LC","1000 ha","268.550000","E","268.550000","E","268.550000","E","235.820000","E","215.350000","E","197.080000","E","193.050000","E","164.250000","E","158.270000","E","116.600000","E","95.920000","E","88.700000","E","76.970000","E","77.040000","E","77.250000","E","77.250000","E","71.740000","E","71.920000","E","72.040000","E","72.180000","E","72.330000","E","72.330000","E","72.530000","E","72.530000","E","72.550000","E","72.550000","E","72.550000","E","72.870000","E","72.880000","E","72.880000","E","72.900000","E",,,,
"2","'004","Afghanistan","6981","Inland water bodies","5013","Area from WorldCover","1000 ha",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"142.020000","E","139.440000","E",,,,,,
